라인,작업지시번호,품번,투입계획일시,시작일시,계획수량,실적수량
1라인,WO-260821-101,HD-48213-AB,2026-08-21 05:00,2026-08-21 04:20,120,118
1라인,WO-260821-102,HD-48213-AB,2026-08-21 06:00,2026-08-21 05:30,120,120
1라인,WO-260821-103,HD-52110-CD,2026-08-21 06:40,2026-08-21 06:35,80,76
1라인,WO-260821-104,HD-52110-CD,2026-08-21 07:30,2026-08-21 06:50,80,30
2라인,WO-260821-201,HD-77105-CD,2026-08-21 05:30,2026-08-21 06:10,150,140
2라인,WO-260821-202,HD-77105-CD,2026-08-21 06:30,,150,0
2라인,WO-260821-203,HD-80331-EF,2026-08-21 07:00,,90,0
3라인,WO-260821-301,HD-91422-EF,2026-08-21 05:00,2026-08-21 05:00,200,195
3라인,WO-260821-302,HD-91422-EF,2026-08-21 06:20,2026-08-21 06:20,200,180
3라인,WO-260821-303,HD-64007-GH,2026-08-21 07:40,,160,0
4라인,WO-260821-401,HD-33518-IJ,2026-08-21 05:50,2026-08-21 06:40,110,90
4라인,WO-260821-402,HD-33518-IJ,2026-08-21 06:50,,110,0
4라인,WO-260821-403,HD-29904-KL,2026-08-21 07:20,,70,0
